disease,symptoms
transient ischemic attack,"loss of sensation,paresthesia,focal weakness,dizziness,depressive or psychotic symptoms,symptoms of the face,headache,weakness"
pyelonephritis,"nausea,low back pain,painful urination,sharp abdominal pain,blood in urine"
asthma,"shortness of breath,nasal congestion,coughing up sputum,difficulty breathing"
cellulitis or abscess of mouth,"lip swelling,difficulty in swallowing,toothache,sore throat,throat swelling,skin growth,abnormal appearing skin"
chronic pain disorder,"back pain,knee pain,headache,ache all over,leg pain,sharp abdominal pain,low back pain,hip pain"
problem during pregnancy,"vomiting,cramps and spasms,back pain,nausea,pain during pregnancy,lower abdominal pain,problems during pregnancy"
ischemia of the bowel,"constipation,nausea,blood in stool,vomiting"
pyelonephritis,"low back pain,side pain,sharp abdominal pain,vomiting,frequent urination"
chronic pain disorder,"knee pain,shoulder pain,pelvic pain,hip pain"
ischemia of the bowel,"blood in stool,constipation,sharp abdominal pain,burning abdominal pain,nausea"
fibromyalgia,"headache,hip pain,arm pain,neck pain,ache all over,low back pain,sharp chest pain"
panic disorder,"depressive or psychotic symptoms,breathing fast,dizziness,palpitations,chest tightness"
eye alignment disorder,"cross-eyed,pain in eye,eye deviation,double vision,diminished vision,symptoms of eye,lack of growth"
atrophic vaginitis,"suprapubic pain,blood in urine,involuntary urination,vaginal itching,frequent urination"
problem during pregnancy,"sharp abdominal pain,problems during pregnancy,headache,spotting or bleeding during pregnancy,back pain,vomiting"
cirrhosis,"upper abdominal pain,peripheral edema,sharp abdominal pain,abdominal distention,blood in stool"
transient ischemic attack,"paresthesia,difficulty speaking,weakness,loss of sensation,disturbance of memory,depressive or psychotic symptoms"
asthma,"coryza,coughing up sputum,chest tightness,shortness of breath,wheezing,fever,cough"
salivary gland disorder,"swollen lymph nodes,sore throat,throat feels tight,cough"
problem during pregnancy,"spotting or bleeding during pregnancy,nausea,headache,problems during pregnancy,lower abdominal pain,pain during pregnancy,cramps and spasms,pelvic pain"
vaginitis,"vaginal redness,pain during pregnancy,pain during intercourse,vaginal discharge,painful urination"
thrombophlebitis,"leg swelling,arm swelling,foot or toe pain,lymphedema,ache all over"
cirrhosis,"peripheral edema,upper abdominal pain,blood in stool,abdominal distention"
atrophic vaginitis,"vaginal itching,blood in urine,involuntary urination,frequent urination,vaginal discharge"
panic disorder,"depressive or psychotic symptoms,chest tightness,irregular heartbeat,shortness of breath"
eating disorder,"depressive or psychotic symptoms,insomnia,acne or pimples,weight gain,anxiety and nervousness,difficulty eating,decreased appetite"
fibromyalgia,"low back pain,leg pain,sharp chest pain,muscle pain,ache all over,arm pain"
eating disorder,"difficulty eating,acne or pimples,depressive or psychotic symptoms,abusing alcohol,depression,decreased appetite,anxiety and nervousness"
acute pancreatitis,"abusing alcohol,sharp chest pain,hemoptysis,back pain,upper abdominal pain,lower body pain"
vaginitis,"vaginal discharge,pain during pregnancy,suprapubic pain,painful urination,pain during intercourse,sharp abdominal pain,vaginal itching"
acute pancreatitis,"upper abdominal pain,lower body pain,abusing alcohol,sharp abdominal pain,burning abdominal pain,back pain,diarrhea,hemoptysis"
pyelonephritis,"suprapubic pain,nausea,blood in urine"
pyelonephritis,"back pain,side pain,frequent urination,blood in urine,lower abdominal pain,sharp abdominal pain"
injury to the abdomen,"back pain,leg pain,sharp abdominal pain,sharp chest pain"
asthma,"allergic reaction,chest tightness,sharp chest pain,difficulty breathing,shortness of breath,coughing up sputum,cough"
cirrhosis,"upper abdominal pain,vomiting blood,blood in stool,sharp abdominal pain"
chronic pain disorder,"shoulder pain,sharp abdominal pain,knee pain,leg pain,headache,hip pain,pelvic pain"
sick sinus syndrome,"irregular heartbeat,shortness of breath,dizziness,increased heart rate,palpitations,weakness"
vaginitis,"pain during intercourse,vaginal discharge,painful urination,pelvic pain,sharp abdominal pain,vaginal itching,lower abdominal pain"
problem during pregnancy,"nausea,vomiting,lower abdominal pain,pain during pregnancy"
chronic pain disorder,"shoulder pain,low back pain,ache all over,leg pain,hip pain"
vaginitis,"vaginal redness,vaginal pain,lower abdominal pain,pain during intercourse,pelvic pain,sharp abdominal pain"
panic disorder,"palpitations,shortness of breath,depression,chest tightness,depressive or psychotic symptoms,abnormal involuntary movements"
cirrhosis,"vomiting blood,shortness of breath,peripheral edema"
thrombophlebitis,"arm pain,lymphedema,leg pain,foot or toe pain,arm swelling"
thrombophlebitis,"skin swelling,arm pain,skin on leg or foot looks infected,arm swelling,leg swelling,lymphedema"
panic disorder,"shortness of breath,anxiety and nervousness,depression,chest tightness,irregular heartbeat"
panic disorder,"breathing fast,palpitations,insomnia,depression,irregular heartbeat,abnormal involuntary movements,anxiety and nervousness,shortness of breath,dizziness,depressive or psychotic symptoms"
chronic pain disorder,"headache,pelvic pain,shoulder pain"
poisoning due to ethylene glycol,"fainting,depression,depressive or psychotic symptoms"
fibromyalgia,"low back pain,back pain,arm pain,neck pain,muscle pain,leg pain"
eating disorder,"weight gain,depressive or psychotic symptoms,depression,acne or pimples"
glaucoma,"pain in eye,spots or clouds in vision,foreign body sensation in eye,itchy eyelid,itchiness of eye,lacrimation"
vaginitis,"pain during pregnancy,suprapubic pain,lower abdominal pain,vaginal discharge,vaginal redness,painful urination"
acute pancreatitis,"lower body pain,vomiting"
thrombophlebitis,"lymphedema,skin on leg or foot looks infected,ache all over,skin swelling,foot or toe pain"
ischemia of the bowel,"nausea,sharp abdominal pain,burning abdominal pain,vomiting"
glaucoma,"itchy eyelid,diminished vision,lacrimation"
panic disorder,"abnormal involuntary movements,depressive or psychotic symptoms,insomnia,breathing fast,irregular heartbeat,chest tightness,palpitations"
peritonitis,"back pain,nausea,groin mass,shortness of breath,intermenstrual bleeding,sharp abdominal pain"
choledocholithiasis,"jaundice,nausea,chills,side pain,sharp abdominal pain"
pyelonephritis,"back pain,suprapubic pain,nausea,sharp abdominal pain,frequent urination,low back pain"
subdural hemorrhage,"irritable infant,depressive or psychotic symptoms,headache,facial pain,vomiting,dizziness"
pyelonephritis,"suprapubic pain,blood in urine,sharp abdominal pain,side pain,nausea,frequent urination,painful urination"
injury to the knee,"leg pain,knee pain"
sick sinus syndrome,"increased heart rate,shortness of breath,irregular heartbeat,fainting"
acute pancreatitis,"back pain,diarrhea,sharp abdominal pain,abusing alcohol,burning abdominal pain,vomiting,upper abdominal pain"
problem during pregnancy,"spotting or bleeding during pregnancy,lower abdominal pain,pelvic pain,headache,vomiting,sharp abdominal pain,problems during pregnancy,pain during pregnancy,cramps and spasms"
atelectasis,"headache,dizziness,sharp chest pain"
fibromyalgia,"headache,neck pain,low back pain,sharp chest pain"
vaginitis,"vaginal pain,lower abdominal pain,vaginal itching,vaginal discharge,pelvic pain"
transient ischemic attack,"focal weakness,loss of sensation,paresthesia"
pyelonephritis,"low back pain,side pain,back pain,suprapubic pain,nausea,painful urination,vomiting,frequent urination,sharp abdominal pain"
diabetic retinopathy,"diminished vision,pain in eye,foreign body sensation in eye,abnormal movement of eyelid,double vision,itchiness of eye"
problem during pregnancy,"problems during pregnancy,pelvic pain,nausea,pain during pregnancy,cramps and spasms"
vaginitis,"pelvic pain,lower abdominal pain,pain during intercourse,vaginal redness,painful urination,vaginal pain"
asthma,"cough,wheezing,allergic reaction,coryza,coughing up sputum,shortness of breath"
eye alignment disorder,"cross-eyed,eye moves abnormally,symptoms of eye,diminished vision,lack of growth,double vision"
eating disorder,"difficulty eating,decreased appetite,acne or pimples,abusing alcohol,depression,insomnia,weight gain"
choledocholithiasis,"decreased appetite,nausea,side pain,sharp abdominal pain,chills"
cellulitis or abscess of mouth,"lip swelling,sore throat,throat swelling,difficulty in swallowing"
diabetic retinopathy,"pain in eye,foreign body sensation in eye,abnormal movement of eyelid"
eye alignment disorder,"lack of growth,cross-eyed,eye deviation,double vision,irregular appearing scalp"
cirrhosis,"upper abdominal pain,peripheral edema,blood in stool,sharp abdominal pain"
pyelonephritis,"back pain,low back pain,vomiting,nausea,painful urination,blood in urine,frequent urination"
fibromyalgia,"sharp chest pain,neck pain,ache all over,muscle pain,hip pain,leg pain,low back pain"
problem during pregnancy,"headache,problems during pregnancy,sharp abdominal pain,pelvic pain,pain during pregnancy,vomiting,spotting or bleeding during pregnancy,cramps and spasms,nausea"
transient ischemic attack,"symptoms of the face,difficulty speaking,loss of sensation,depressive or psychotic symptoms,weakness"
panic disorder,"dizziness,abnormal involuntary movements,chest tightness,anxiety and nervousness,depressive or psychotic symptoms"
transient ischemic attack,"paresthesia,weakness,dizziness,depressive or psychotic symptoms,headache"
acute pancreatitis,"burning abdominal pain,vomiting,upper abdominal pain,back pain,sharp chest pain"
vaginitis,"vaginal discharge,pain during pregnancy,vaginal itching,vaginal pain,pelvic pain"
ischemia of the bowel,"burning abdominal pain,retention of urine,vomiting"
panic disorder,"shortness of breath,abnormal involuntary movements,dizziness,breathing fast,depression"
subdural hemorrhage,"irritable infant,dizziness,headache"
asthma,"shortness of breath,nasal congestion,chest tightness,sharp chest pain,coughing up sputum,fever,cough,allergic reaction,coryza"
vaginitis,"vaginal discharge,pelvic pain,vaginal itching,sharp abdominal pain"
sick sinus syndrome,"fainting,decreased heart rate,irregular heartbeat,weakness,dizziness,increased heart rate"
diabetic retinopathy,"lacrimation,itchiness of eye,abnormal movement of eyelid,symptoms of eye,double vision,foreign body sensation in eye"
headache after lumbar puncture,"dizziness,low back pain,painful urination,nausea"
eye alignment disorder,"lack of growth,eye deviation,symptoms of eye,cross-eyed"
atrophic vaginitis,"suprapubic pain,involuntary urination,painful urination,pain during intercourse,vaginal discharge,blood in urine"
panic disorder,"chest tightness,depression,shortness of breath,dizziness,depressive or psychotic symptoms,breathing fast"
atrophic vaginitis,"blood in urine,suprapubic pain,vaginal discharge,involuntary urination,painful urination"
injury to the knee,"knee pain,knee weakness"
acute pancreatitis,"burning abdominal pain,diarrhea,vomiting,nausea,side pain,sharp chest pain,lower body pain,sharp abdominal pain,abusing alcohol,hemoptysis,upper abdominal pain"
asthma,"wheezing,cough,chest tightness,allergic reaction"
glaucoma,"lacrimation,itchy eyelid,symptoms of eye,eye redness,itchiness of eye"
atrophic vaginitis,"painful urination,suprapubic pain,involuntary urination,vaginal discharge"
vaginitis,"pelvic pain,vaginal itching"
diabetic retinopathy,"abnormal movement of eyelid,lacrimation,foreign body sensation in eye,spots or clouds in vision"
atrophic vaginitis,"vaginal discharge,pain during intercourse,vaginal itching,painful urination,suprapubic pain,blood in urine"
pyelonephritis,"lower abdominal pain,blood in urine,back pain,sharp abdominal pain"
fibromyalgia,"back pain,leg pain,ache all over,headache"
choledocholithiasis,"upper abdominal pain,chills,jaundice,nausea,decreased appetite"
pyelonephritis,"nausea,painful urination,low back pain,lower abdominal pain,vomiting,frequent urination,sharp abdominal pain"
glaucoma,"foreign body sensation in eye,spots or clouds in vision,pain in eye,itchiness of eye"
pyelonephritis,"back pain,nausea,blood in urine,suprapubic pain,sharp abdominal pain,low back pain,painful urination"
diabetic retinopathy,"lacrimation,symptoms of eye,foreign body sensation in eye,double vision,diminished vision"
acute pancreatitis,"lower body pain,side pain,burning abdominal pain,diarrhea,upper abdominal pain,abusing alcohol"
vaginitis,"painful urination,vaginal itching,vaginal pain,vaginal discharge,vaginal redness,suprapubic pain,pain during intercourse"
salivary gland disorder,"swollen lymph nodes,sore throat,cough"
glaucoma,"pain in eye,foreign body sensation in eye,diminished vision"
vocal cord polyp,"difficulty speaking,sore throat,throat swelling"
vaginitis,"vaginal itching,pain during intercourse,vaginal pain,pain during pregnancy,sharp abdominal pain,vaginal discharge,pelvic pain"
panic disorder,"breathing fast,depression,chest tightness,depressive or psychotic symptoms,insomnia,shortness of breath"
vaginitis,"pelvic pain,vaginal discharge,lower abdominal pain,pain during intercourse,vaginal itching"
panic disorder,"anxiety and nervousness,shortness of breath,depressive or psychotic symptoms,insomnia,palpitations,chest tightness"
vaginitis,"pelvic pain,painful urination,pain during pregnancy,suprapubic pain,vaginal pain,vaginal redness"
